1001,,12th century,Ps.,"Νικολάου, 39",Andros,Greece
1002,,XII,Ps.,"Byz. Mus., 2138",Athens,Greece
1003,,10th century,Cat. in Od.,"EBE, 1",Athens,Greece
1004,,12th century,Ps.Od.,"EBE, 3",Athens,Greece
1005,,12th century,Ps.,"EBE, 5",Athens,Greece
1006,,12th century,Ps.Od.,"EBE, 6",Athens,Greece
1007,,10th/11th century,Ps.Od.,"EBE, 7",Athens,Greece
1008,,11th century,Ps.,"EBE, 47;RBN, Gr. 264",Athens;Petersburg,Greece;Russia
1009,,12th century,Ps.,"Вατοπαιδίου, 760",Mount Athos,Greece
1010,,c. 1087,Ps.,"Вατοπαιδίου, 761;Walters Art Gall., 530b",Mount Athos;Baltimore,Greece;United States
1011,,12th century,Ps.Od.,"Вατοπαιδίου, 851",Mount Athos,Greece
1012,,12th century,Ps.,"Γρηγορίου, 157",Mount Athos,Greece
1013,,1037,Ps.,"Διονυσίου, 86",Mount Athos,Greece
1014,,12th century,Ps.,"Διονυσίου, 93",Mount Athos,Greece
1015,,12th century,Ps.,"Διονυσίου, 585",Mount Athos,Greece
1016,,12th century,Ps.Od.,"Διονυσίου, 640",Mount Athos,Greece
1017,,12th century,Ps.,"Δοχειαρείου, 57",Mount Athos,Greece
1018,,12th century,Cat. in Ps.Od.,"Ίβήρων, 17",Mount Athos,Greece
1019,,12th century,Ps.,"Ίβήρων, 22",Mount Athos,Greece
1020,,11th century,Ps.,"Ίβήρων, 70",Mount Athos,Greece
1021,,11th century,Cat. in Ps.,"Ίβήρων, 597",Mount Athos,Greece
1022,,12th century,Ps.Od.,"Bryn Mawr Coll. Libr., Gordan MS 9",Philadelphia,United States
1023,,12th century,Ps.,"Κουτλουμουσίου, 87",Mount Athos,Greece
1024,,11th/12th century,Ps.Od.,"Λαύρα, 13",Mount Athos,Greece
1025,,1084,Ps.Od.,"Λαύρα, 146",Mount Athos,Greece
1026,,984,Cat. in Ps.Od.,"Λαύρα, 446",Mount Athos,Greece
1027,,12th century,Ps.Od.,"Παντελεήμωνος, 19",Mount Athos,Greece
