801,4Q119(4Q LXXLeva),1st century BCE,fragments of Leviticus  26:2-16,"Rockefeller Museum, Gr. 1004 [4Q119]",Jerusalem,Israel
802,4Q120(4Q LXXLevb),1st century BCE,"fragments of Leviticus  1:11, 2:3-6:5","Rockefeller Museum, 4Q120",Jerusalem,Israel
803,4Q121(4Q LXXNum),1st century BCE,fragments of Numbers 3:39-4:16,"Rockefeller Museum, Gr. 265 [4Q121]",Jerusalem,Israel
804,7Q2(7QLXXEpJer),1st century BCE,"fragments of Baruch 6:43,44","Rockefeller Museum, Gr. 789 [7Q2]",Jerusalem,Israel
805,7Q1(7Q LXXEx),1st century BCE,fragments of Exodus 28:4-7,"Rockefeller Museum, Gr. 789 [7Q1]",Jerusalem,Israel
806,,5th century,Gen. 27:43–28:6 fragm.,"ÖNB, P. Vindob. G 26101",Vienna,Austria
807,,5th century,Gen. 43:16-17. 20-21 fragm.,"ÖNB, P. Vindob. G 26112",Vienna,Austria
808,,5th century,"Exod. 16:32, 17:1-2 fragm.","ÖNB, P. Vindob. G 39210",Vienna,Austria
809,,6th century,"Lev. 8:14-15, 17–19 fragm.","ÖNB, P. Vindob. G 19893",Vienna,Austria
810,,5th/6th century,"Prov. 26:11, 16-18 fragm.","ÖNB, P. Vindob. G 3077",Vienna,Austria
811,,5th century,"Prov. 27:10-11, 15-16 fragm.","ÖNB, P. Vindob. G 39209",Vienna,Austria
812,,5th/6th century,Prov. 30:32 - 31:1.3-6 fragm.,"ÖNB, P. Vindob. G 30135",Vienna,Austria
813,,5th century,Dan. o' 3:23-25 fragm.,"ÖNB, P. Vindob. G 29255",Vienna,Austria
814,,IIE,Gen. 14:5-8.12-15 fragm.,"YBR, P. CtYBR Inv. 419",New Haven,United States
815,,4th/5th century,Gen. 41:48-57 fragm.,"Univ.-Bibl., P. Erl. Inv. 2",Erlangen,Germany
816,,IIE,Jos 9:27-11:3 (with gaps),"Schøyen Coll., MS 2648",Oslo,Norway
817,,4th century,"Jer. 17:26-27, 18:8-11, 46:14-47:1.7-9 fragm.","University of Paris, Inv. 2250",Paris,Francia
818,,3rd century,"Eccl.3:17f, 21f, 6:3-5.8-11 fragm.","UML, P. Mich. Inv. 27;Univ. S. Cuore, P. Med. Inv. 151",Ann Arbor;Milan,United States;Italy
819,4Q122(4Q LXXDeut),2nd century BCE,fragments of Deut 11:4,"Rockefeller Museum, Gr. 265 [4Q122]",Jerusalem,Israel
[820]missing,,9th? century,Gen. 10:12-13,"Om.-Mosch., Treu Nr. I",Damascus,Syria
[821]missing,,5th/6th century,Reg. III 18:26-22:10 (with gaps),"Om.-Mosch., Treu Nr. II",Damascus,Syria
[822]missing,,5th/6th century,Est. 8:10-E4,"Om.-Mosch., Treu Nr. III",Damascus,Syria
[823]missing,,5th/6th? century,Idt. 2:19,"Om.-Mosch., Treu Nr. IV",Damascus,Syria
[824]missing,,5th century,"Prov. 4:26-5:8, 6:8a-16","Om.-Mosch., Treu Nr. VI",Damascus,Syria
[825]missing,,4th/5th century,"Cant. 2:1-6, 2:17-3:2, 5:8-13","Om.-Mosch., Treu Nr. VII",Damascus,Syria
[826]missing,,5th/6th century,Sap. 10:19-11:11,"Om.-Mosch., Treu Nr. VIII",Damascus,Syria
[827]missing,,6th? century,Jer. 25:10-12,"Om.-Mosch., Treu Nr. IX",Damascus,Syria
828,,3rd/4th century,"Sir. 29:15-18, 25-27 fragm.","Int. Pap., „G. Vitelli”, Inv. 531",Florence,Italy
829,,3rd century,"Excerpta Os. 2:10-9:6, Am. 2:8-10.15","BL, P. Inv. Nr. 10825",London,U. Kingdom
830,,IIE,"Lev. 10:15-13:6, 23:20-30, 25:30-40 (with gaps)","Schøyen Coll., MS 2649",Oslo,Norway
831,,c. 500,Gen. 36:14-15.24-25 fragm.,"Ägyptisches Museum, P. 17035",Berlin,Germany
832,,4th century,Gen. 13:7-8.10-11 fragm.,"UML, P. Mich. Inv. 2724",Ann Arbor,United States
833,,8th/9th century,"Gen. 10:20-13:3, Num. 3:43-4:7","Bibl. Univ., S. Salv. 140+126",Messina,Italy
834,,5th/6th century,"Job 31:32-34, 31:39-32:1 fragm.","Ägyptisches Museum, P. 6788",Berlin,Germany
835,,4th century,"Exod. 5:14-17, 6:22-25, 7:15-17 fragm.","Ägyptisches Museum, P. 11766 + 14046",Berlin,Germany
836,,3rd/4th century,Exod. 34:35-35:8 fragm.,"Ägyptisches Museum, P. 14039",Berlin,Germany
837,P. Berlin 17212,3rd century,"Jeremiah 2:2,3.8–9.16–19.24–26.30–32,37; 3:1,6–7.12–13.18.24–25","Ägyptisches Museum, P. 17212",Berlin,Germany
838,,4th century,Cant. 5:13-6:4 fragm.,"Ägyptisches Museum, P. 18196",Berlin,Germany
839,,7th/8th century,Jos 4:3-11,"Westm. Coll., Cod. Clim. Rescr., Bl. 5",Cambridge,U. Kingdom
{840}locked,,,,"Bibl. Univ., S. Salv. 126: s. 833",Messina,Italy
841,,6th/7th? century,"Esdr.I 2:10, 9:21-24 fragm.","MMA, Inv. 12.180.184",New York,United States
842,,4th century,Reg. I 23:28-24:2.6-8.12-13.18-20 fragm.,"Coll. Univ., P. Feinberg 1",New York,United States
