601,,15th century,"Eccl., Cant.","BnF, Gr. 2509",Paris,Francia
602,,15th century,"Deut., Lev. fragm., Prov., Cant., Eccl.","BnF, Gr. 2511",Paris,Francia
603,,16th century,"Sir. (XIII), Ps.Od.","BnF, Gr. 2747",Paris,Francia
604,,10th/11th century,Job. fragm.,"BnF, Gr. 2841",Paris,Francia
605,,1477,Dan.,"BnF, Gr. 2981",Paris,Francia
606,,1419,"Wis., Ps.Sal., Sir.","BnF, Gr. 2991 A",Paris,Francia
607,,15th century,Mac. IV,"BnF, Gr. 3010",Paris,Francia
608,,12th century,Cat. Nicandae in Job,"BnF, Suppl. gr. 153",Paris,Francia
609,,16th century,"Eccl., Cant.","BnF, Suppl. gr. 500",Paris,Francia
610,,14th century,"Oct., Reg., Par., Esdr., Mac. I-IV, Est., Idt., Tob.","BnF, Suppl. gr. 609",Paris,Francia
611,,16th century,Ez. fragm.,"BnF, Suppl. gr. 1254",Paris,Francia
612,,7th/8th century,Cat. in Job,"Ίωάννου τοὒ Θεολόγου, 171",Patmos,Greece
613,,13th century,"Ps.Od., Prov., Eccl., Cant., Wis., Sir., Job, XII + IV proph.","Ίωάννου τοὒ Θεολόγου, 209",Patmos,Greece
614,,11th century,Cat. in Is,"Ίωάννου τοὒ Θεολόγου, 214",Patmos,Greece
615,,11th century,Cat. in Pent.,"Ίωάννου τοὒ Θεολόγου, 216",Patmos,Greece
616,,11th century,Cat. in Num.–Ruth,"Ίωάννου τοὒ Θεολόγου, 217",Patmos,Greece
617,,11th century,Mac. IV,"Ίωάννου τοὒ Θεολόγου, 258",Patmos,Greece
618,,13th century,Oct.,"Ίωάννου τοὒ Θεολόγου, 410",Patmos,Greece
619,,15th century,Pent.,"Ίωάννου τοὒ Θεολόγου, 411",Patmos,Greece
620,,13th century,Cat. in Job,"Ίωάννου τοὒ Θεολόγου, 419",Patmos,Greece
621,,16th century,Dan.,"Ίωάννου τοὒ Θεολόγου, 672",Patmos,Greece
622,,16th century,Cat. in Cant.,"Bodleian Library, Holkham Gr. 35",Oxford,U. Kingdom
623,,16th century,Cat. in Oct.,"Vatican Library, Vat. gr. 1520",Vatican City,
624,,5th/6th century,Num. (with gaps),RBN Gr. 5,Petersburg,Russia
625,,8th/11th century,"Reg. II 22:38–23:10, Reg. III 13:4–23, 16:31–33, 17:1–17 (with gaps)",RBN Gr. 24,Petersburg,Russia
626,,9th century,Sap. and Sir. fragm.,RBN Gr. 42,Petersburg,Russia
627,,10th century,Reg. III frag.,RBN Gr. 63,Petersburg,Russia
628,,13th century,Cat. in Oct.,RBN Gr. 124,Petersburg,Russia
629,,13th century,"Cat. in Ps.Od., Ps.Sal.","Bibl. Casanat., 1908",Rome,Italy
630,,10th century,Oct.,RBN Gr. 673,Petersburg,Russia
631,,14th century,"Est., Idt., Mac. I-IV, Tob., IV + XII proph., Prov., Eccl., Cant., Job, Wis., Sir.","Nat.-Bibl., E. VI. f. 19",Prague,Czech Republic
632,,16th century,Cat. in Prov. and Eccl. and Cant. and Job,"Bibl. Angel., Gr 113",Rome,Italy
633,,16th century,Cat. in Gen.,"Bibl. Angel., Gr 114",Rome,Italy
634,,16th century,Cat. in Prov.,"Bibl. Casanat., 39, Bl. 159-206",Rome,Italy
635,,16th century,Cat. in Prov.,"Bibl. Casanat., 39, Bl. 207-274",Rome,Italy
636,,16th century,"Cat. Procopii in Cant., Cat. in Prov.","Bibl. Casanat., 203",Rome,Italy
637,,11th century,"Job, Prov., Eccl., Cant., Wis., Sir.","Bibl. Casanat., 241",Rome,Italy
638,,12th century,Cat. in Is.,"Vatican Library, Chis. R. V. 28",Vatican City,
639,,12th century,Mac. IV.,"Vatican Library, Chis. R. VII. 50",Vatican City,
640,,11th century,Mac. IV,"Bibl. Vallicell., Gr. 2",Rome,Italy
641,,14th century,Mac. IV fragm.,"Bibl. Vallicell., Gr. 8",Rome,Italy
642,,12th century,Lev. fragm.,"Bibl. Vallicell., Gr. 10",Rome,Italy
643,,10th century,Cat. in Job,"Bibl. Vallicell., Gr. 37",Rome,Italy
644,,11th century,Job,"Vatican Library, Barber. gr. 369",Vatican City,
645,,13th century,Cat. in Eccl. and Cant.,"Vatican Library, Barber. gr. 388",Vatican City,
646,,12th century,Cat. in Oct.,"Vatican Library, Barber. gr. 474",Vatican City,
647,,12th/13th century,Sus.,"Vatican Library, Barber. gr. 517",Vatican City,
648,,16th century,Cat. in Is.,"Vatican Library, Barber. gr. 536",Vatican City,
