
1101,Chludov Psalter,9th century,Psalter,"State Historical Museum, MS. D.129",Moscow,Russia
1102,,9th century,Ps. fragm.,"R. Staats-Bibl., Norov 74",Moscow,Russia
1103,,10th/11th century,Ps. Od.,"R. Staats-Bibl., Norov 77",Moscow,Russia
1104,,11th century,Cat. in Ps.Od.,"State Historical Museum, Syn. gr. 194",Moscow,Russia
1105,,10th century,Cat. in Od.,"State Historical Museum, Syn. gr. 213",Moscow,Russia
1106,,11th century,Ps.Od.,"State Historical Museum, Syn. gr. 341",Moscow,Russia
1107,,10th century,Ps.Od.,"State Historical Museum, Syn. gr. 356",Moscow,Russia
1108,,11th century,Cat. in Ps.Od.,"State Historical Museum, Syn. gr. 358",Moscow,Russia
1109,,12th century,Ps.Od.,"State Historical Museum, Syn. gr. 407",Moscow,Russia
1110,,10th century,Ps.Od.,"State Historical Museum, Syn. gr. 251",Moscow,Russia
1111,,11th century,Cat. in Ps.Od.,"BSB, gr. 251",Munich,Germany
1112,,11th century,Cat. in Ps.Od.,"BSB, gr. 252",Munich,Germany
1113,,11th century,Cat. in Ps.,"BSB, gr. 359",Munich,Germany
1114,,12th century,Cat. in Ps. fragm. and Cat. in Od.,"BSB, gr. 478",Munich,Germany
1115,,10th century,Ps.Od.,"BSB, gr. 556",Munich,Germany
1116,,10th century,Od.,"Bodleian Library, Auct. D. 3. 17",Oxford,U. Kingdom
1117,,11th century,Ps.Od.,"Bodleian Library, Auct. D. inf. 2. 18",Oxford,U. Kingdom
1118,,10th century,Ps.Od.,"Bodleian Library, Auct. T. 4. 19",Oxford,U. Kingdom
1119,,9th/10th century,Ps. 117:10-14; 131:10-12,"BnF, Copt. 12919, Bl. 36;Vatican Library, Borgian. copt. 96",Paris;Vatican City,Francia;.
1120,,1143,"Tht. comm. in Ps., Od., Cat. in Od. fragm.","Bodleian Library, Barocc. 132",Oxford,U. Kingdom
1121,,11th century,Cat. in Ps.,"Bodleian Library, Barocc. 235",Oxford,U. Kingdom
1122,,12th century,Cat. in Ps.Od.,"Bodleian Library, Canonic. gr. 62",Oxford,U. Kingdom
1123,,c. 1077,Ps.Od.,"Bodleian Library, E. D. Clarke 15",Oxford,U. Kingdom
1124,,12th century,Cat. in Od.,"Bodleian Library, Laud. gr. 42",Oxford,U. Kingdom
1125,,10th/11th century,Cat. in Ps.Od.,"Bodleian Library, Roe 4",Oxford,U. Kingdom
1126,,10th century,Ps. fragm.,"Christ Church, 15",Oxford,U. Kingdom
1127,,12th century,Ps.Od.,"Lincoln Coll., Gr. 31",Oxford,U. Kingdom
1128,,11th century,Ps.Od.,"Bibl. Naz, I. A. 2",Palermo,Italy
1129,,9th century,Ps.Od.,"Bibl. de I'Arsenal, 8407",Paris,Francia
1130,,11th century,Cat. in Od.,"BnF, Coisl. 81",Paris,Francia
1131,,11th century,Cat. in Od.,"BnF, Coisl. 275",Paris,Francia
1132,,12th century,Ps.,"BnF, Coisl. 360",Paris,Francia
1133,Paris Psalter,10th century,Cat in Ps.Od.,"BnF, Gr. 139",Paris,Francia
1134,,10th century,Cat in Ps.Od.,"BnF, Gr. 140",Paris,Francia
1135,,11th century,Cat in Ps.Od.,"BnF, Gr. 141",Paris,Francia
1136,,11th century,Cat in Od.,"BnF, Gr. 141 A",Paris,Francia
1137,,12th century,Cat in Ps.Od.,"BnF, Gr. 143",Paris,Francia
1138,,10th century,Cat in Ps.Od.,"BnF, Gr. 146",Paris,Francia
1139,,11th century,Cat in Ps.Od.,"BnF, Gr. 163",Paris,Francia
1140,,1070,Cat in Ps.Od.,"BnF, Gr. 164",Paris,Francia
1141,,11th century,Cat in Od.,"BnF, Gr. 843",Paris,Francia
